# Intensity Error [-0.333H,0.167H,0] DeltaE
#  shape: 20x70
1.139936e-01 8.047602e-02 2.250000e-01 4.850000e+00
-7.273548e-02 1.243061e-01 2.250000e-01 4.950000e+00
0.000000e+00 0.000000e+00 2.250000e-01 5.050000e+00
nan nan 2.250000e-01 5.150000e+00
nan nan 2.250000e-01 5.250000e+00
nan nan 2.250000e-01 5.350000e+00
nan nan 2.250000e-01 5.450000e+00
nan nan 2.250000e-01 5.550000e+00
nan nan 2.250000e-01 5.650000e+00
nan nan 2.250000e-01 5.750000e+00
nan nan 2.250000e-01 5.850000e+00
nan nan 2.250000e-01 5.950000e+00
nan nan 2.250000e-01 6.050000e+00
nan nan 2.250000e-01 6.150000e+00
nan nan 2.250000e-01 6.250000e+00
nan nan 2.250000e-01 6.350000e+00
nan nan 2.250000e-01 6.450000e+00
nan nan 2.250000e-01 6.550000e+00
nan nan 2.250000e-01 6.650000e+00
nan nan 2.250000e-01 6.750000e+00
nan nan 2.250000e-01 6.850000e+00
nan nan 2.250000e-01 6.950000e+00
3.507313e+01 1.025809e+00 2.750000e-01 5.000000e-02
8.396110e+00 5.072282e-01 2.750000e-01 1.500000e-01
1.184326e+00 1.918938e-01 2.750000e-01 2.500000e-01
6.136591e-01 1.438946e-01 2.750000e-01 3.500000e-01
3.805991e-01 1.207239e-01 2.750000e-01 4.500000e-01
3.359757e-01 1.013006e-01 2.750000e-01 5.500000e-01
3.196348e-01 9.637365e-02 2.750000e-01 6.500000e-01
1.213560e-01 6.067812e-02 2.750000e-01 7.500000e-01
5.819808e-02 4.115226e-02 2.750000e-01 8.500000e-01
1.499716e-01 6.706946e-02 2.750000e-01 9.500000e-01
8.680009e-02 5.011415e-02 2.750000e-01 1.050000e+00
1.478036e-01 6.609989e-02 2.750000e-01 1.150000e+00
1.152935e-01 7.056739e-02 2.750000e-01 1.250000e+00
2.055121e-01 7.767654e-02 2.750000e-01 1.350000e+00
0.000000e+00 0.000000e+00 2.750000e-01 1.450000e+00
2.035966e-01 7.695239e-02 2.750000e-01 1.550000e+00
1.689728e-01 8.904761e-02 2.750000e-01 1.650000e+00
3.708755e-01 1.028628e-01 2.750000e-01 1.750000e+00
3.610479e-01 1.001369e-01 2.750000e-01 1.850000e+00
3.072493e-01 1.082145e-01 2.750000e-01 1.950000e+00
4.101563e-01 1.059022e-01 2.750000e-01 2.050000e+00
3.294765e-01 9.511209e-02 2.750000e-01 2.150000e+00
6.178905e-01 1.342807e-01 2.750000e-01 2.250000e+00
2.406966e-01 1.227524e-01 2.750000e-01 2.350000e+00
4.750432e-01 1.493721e-01 2.750000e-01 2.450000e+00
2.866059e-01 1.135216e-01 2.750000e-01 2.550000e+00
3.651779e-01 1.329810e-01 2.750000e-01 2.650000e+00
2.717728e-01 9.565666e-02 2.750000e-01 2.750000e+00
2.353119e-01 7.441239e-02 2.750000e-01 2.850000e+00
1.977255e-01 9.061469e-02 2.750000e-01 2.950000e+00
4.336399e-01 1.073010e-01 2.750000e-01 3.050000e+00
5.053294e-01 1.099029e-01 2.750000e-01 3.150000e+00
3.879193e-01 8.857891e-02 2.750000e-01 3.250000e+00
5.200102e-01 1.091138e-01 2.750000e-01 3.350000e+00
4.389910e-01 9.123851e-02 2.750000e-01 3.450000e+00
7.701540e-01 1.198118e-01 2.750000e-01 3.550000e+00
8.445531e-01 1.354889e-01 2.750000e-01 3.650000e+00
6.334539e-01 1.097573e-01 2.750000e-01 3.750000e+00
3.168601e-01 8.924202e-02 2.750000e-01 3.850000e+00
3.419459e-01 7.807846e-02 2.750000e-01 3.950000e+00
2.653568e-01 7.749103e-02 2.750000e-01 4.050000e+00
4.098402e-01 7.624269e-02 2.750000e-01 4.150000e+00
2.107140e-01 5.960674e-02 2.750000e-01 4.250000e+00
3.101312e-01 6.252032e-02 2.750000e-01 4.350000e+00
1.990673e-01 5.644497e-02 2.750000e-01 4.450000e+00
1.769274e-01 5.649882e-02 2.750000e-01 4.550000e+00
1.043241e-01 5.784592e-02 2.750000e-01 4.650000e+00
2.047743e-01 8.110012e-02 2.750000e-01 4.750000e+00
1.330217e-01 7.033476e-02 2.750000e-01 4.850000e+00
1.188960e-01 1.193319e-01 2.750000e-01 4.950000e+00
0.000000e+00 0.000000e+00 2.750000e-01 5.050000e+00
nan nan 2.750000e-01 5.150000e+00
nan nan 2.750000e-01 5.250000e+00
nan nan 2.750000e-01 5.350000e+00
nan nan 2.750000e-01 5.450000e+00
nan nan 2.750000e-01 5.550000e+00
nan nan 2.750000e-01 5.650000e+00
nan nan 2.750000e-01 5.750000e+00
nan nan 2.750000e-01 5.850000e+00
nan nan 2.750000e-01 5.950000e+00
nan nan 2.750000e-01 6.050000e+00
nan nan 2.750000e-01 6.150000e+00
nan nan 2.750000e-01 6.250000e+00
nan nan 2.750000e-01 6.350000e+00
nan nan 2.750000e-01 6.450000e+00
nan nan 2.750000e-01 6.550000e+00
nan nan 2.750000e-01 6.650000e+00
nan nan 2.750000e-01 6.750000e+00
nan nan 2.750000e-01 6.850000e+00
nan nan 2.750000e-01 6.950000e+00
2.950335e+01 9.562106e-01 3.250000e-01 5.000000e-02
8.431696e+00 5.038454e-01 3.250000e-01 1.500000e-01
1.360864e+00 2.051584e-01 3.250000e-01 2.500000e-01
9.545896e-01 1.739327e-01 3.250000e-01 3.500000e-01
5.199161e-01 1.260985e-01 3.250000e-01 4.500000e-01
2.674183e-01 9.856186e-02 3.250000e-01 5.500000e-01
2.407440e-01 8.511589e-02 3.250000e-01 6.500000e-01
1.782067e-01 7.275285e-02 3.250000e-01 7.500000e-01
8.934501e-02 6.659009e-02 3.250000e-01 8.500000e-01
8.841446e-02 5.104620e-02 3.250000e-01 9.500000e-01
1.478730e-01 6.613090e-02 3.250000e-01 1.050000e+00
-5.883191e-05 5.843787e-02 3.250000e-01 1.150000e+00
9.636344e-05 4.157361e-02 3.250000e-01 1.250000e+00
8.674055e-02 5.007969e-02 3.250000e-01 1.350000e+00
2.920887e-02 2.920887e-02 3.250000e-01 1.450000e+00
1.730506e-01 7.064784e-02 3.250000e-01 1.550000e+00
8.619634e-02 6.429365e-02 3.250000e-01 1.650000e+00
2.000744e-01 7.562110e-02 3.250000e-01 1.750000e+00
4.507035e-01 1.195538e-01 3.250000e-01 1.850000e+00
2.793055e-01 8.832443e-02 3.250000e-01 1.950000e+00
3.890751e-01 1.039851e-01 3.250000e-01 2.050000e+00
4.409691e-01 1.458815e-01 3.250000e-01 2.150000e+00
4.348938e-01 1.386139e-01 3.250000e-01 2.250000e+00
4.087449e-01 1.414714e-01 3.250000e-01 2.350000e+00
4.510265e-01 1.216590e-01 3.250000e-01 2.450000e+00
3.920731e-01 1.253682e-01 3.250000e-01 2.550000e+00
2.969087e-01 1.048747e-01 3.250000e-01 2.650000e+00
4.455248e-01 1.022107e-01 3.250000e-01 2.750000e+00
3.079454e-01 1.077701e-01 3.250000e-01 2.850000e+00
3.714094e-01 9.681666e-02 3.250000e-01 2.950000e+00
2.986372e-01 9.948892e-02 3.250000e-01 3.050000e+00
4.377106e-01 1.025109e-01 3.250000e-01 3.150000e+00
4.810292e-01 1.079423e-01 3.250000e-01 3.250000e+00
3.798979e-01 9.047219e-02 3.250000e-01 3.350000e+00
6.902053e-01 1.160912e-01 3.250000e-01 3.450000e+00
9.684910e-01 1.405230e-01 3.250000e-01 3.550000e+00
8.587927e-01 1.293718e-01 3.250000e-01 3.650000e+00
6.099062e-01 1.157008e-01 3.250000e-01 3.750000e+00
