# Intensity Error [-0.667H,0.333H,0] DeltaE
#  shape: 34x70
1.286158e-01 7.885105e-02 4.683300e-01 3.950000e+00
1.266511e-01 6.332576e-02 4.683300e-01 4.050000e+00
1.836646e-01 1.146554e-01 4.683300e-01 4.150000e+00
1.169432e-01 5.847170e-02 4.683300e-01 4.250000e+00
1.950838e-01 8.351380e-02 4.683300e-01 4.350000e+00
2.145652e-01 8.477491e-02 4.683300e-01 4.450000e+00
8.277022e-02 9.242467e-02 4.683300e-01 4.550000e+00
-3.832014e-04 7.870945e-02 4.683300e-01 4.650000e+00
-8.917482e-04 7.692602e-02 4.683300e-01 4.750000e+00
4.726556e-01 1.494688e-01 4.683300e-01 4.850000e+00
2.578659e-01 1.289340e-01 4.683300e-01 4.950000e+00
-2.207170e-01 1.560708e-01 4.683300e-01 5.050000e+00
0.000000e+00 0.000000e+00 4.683300e-01 5.150000e+00
nan nan 4.683300e-01 5.250000e+00
nan nan 4.683300e-01 5.350000e+00
nan nan 4.683300e-01 5.450000e+00
nan nan 4.683300e-01 5.550000e+00
nan nan 4.683300e-01 5.650000e+00
nan nan 4.683300e-01 5.750000e+00
nan nan 4.683300e-01 5.850000e+00
nan nan 4.683300e-01 5.950000e+00
nan nan 4.683300e-01 6.050000e+00
nan nan 4.683300e-01 6.150000e+00
nan nan 4.683300e-01 6.250000e+00
nan nan 4.683300e-01 6.350000e+00
nan nan 4.683300e-01 6.450000e+00
nan nan 4.683300e-01 6.550000e+00
nan nan 4.683300e-01 6.650000e+00
nan nan 4.683300e-01 6.750000e+00
nan nan 4.683300e-01 6.850000e+00
nan nan 4.683300e-01 6.950000e+00
2.305138e+01 1.025775e+00 4.983300e-01 5.000000e-02
7.890592e+00 5.848905e-01 4.983300e-01 1.500000e-01
2.408888e+00 3.340533e-01 4.983300e-01 2.500000e-01
6.014685e-01 1.607495e-01 4.983300e-01 3.500000e-01
2.724370e-01 1.112220e-01 4.983300e-01 4.500000e-01
5.712501e-01 1.584366e-01 4.983300e-01 5.500000e-01
1.754988e-01 8.774961e-02 4.983300e-01 6.500000e-01
1.339747e-01 7.735045e-02 4.983300e-01 7.500000e-01
4.260524e-02 4.260524e-02 4.983300e-01 8.500000e-01
2.458528e-04 8.910361e-02 4.983300e-01 9.500000e-01
-8.487658e-02 8.498738e-02 4.983300e-01 1.050000e+00
-4.366248e-02 4.366248e-02 4.983300e-01 1.150000e+00
8.635151e-02 6.105974e-02 4.983300e-01 1.250000e+00
0.000000e+00 0.000000e+00 4.983300e-01 1.350000e+00
4.356643e-02 4.356643e-02 4.983300e-01 1.450000e+00
8.614540e-05 5.881575e-02 4.983300e-01 1.550000e+00
4.375536e-02 7.568903e-02 4.983300e-01 1.650000e+00
8.207055e-02 5.803265e-02 4.983300e-01 1.750000e+00
4.315218e-02 4.315218e-02 4.983300e-01 1.850000e+00
-1.010986e-04 5.817274e-02 4.983300e-01 1.950000e+00
4.229288e-02 4.229288e-02 4.983300e-01 2.050000e+00
-7.049171e-05 5.825207e-02 4.983300e-01 2.150000e+00
4.120284e-02 7.210475e-02 4.983300e-01 2.250000e+00
1.627293e-01 8.136494e-02 4.983300e-01 2.350000e+00
0.000000e+00 0.000000e+00 4.983300e-01 2.450000e+00
4.011802e-02 4.011803e-02 4.983300e-01 2.550000e+00
-2.978332e-04 8.209421e-02 4.983300e-01 2.650000e+00
1.957439e-05 5.448492e-02 4.983300e-01 2.750000e+00
1.596249e-01 7.981280e-02 4.983300e-01 2.850000e+00
1.098190e-04 5.303168e-02 4.983300e-01 2.950000e+00
1.154351e-01 6.664659e-02 4.983300e-01 3.050000e+00
1.482986e-01 9.072344e-02 4.983300e-01 3.150000e+00
-3.347599e-04 1.044466e-01 4.983300e-01 3.250000e+00
1.436844e-01 8.788049e-02 4.983300e-01 3.350000e+00
7.244722e-02 7.247748e-02 4.983300e-01 3.450000e+00
6.969375e-02 8.584523e-02 4.983300e-01 3.550000e+00
2.183259e-04 8.440100e-02 4.983300e-01 3.650000e+00
6.930511e-02 8.502974e-02 4.983300e-01 3.750000e+00
3.321240e-02 5.758499e-02 4.983300e-01 3.850000e+00
9.987184e-02 8.783944e-02 4.983300e-01 3.950000e+00
9.728145e-02 5.616550e-02 4.983300e-01 4.050000e+00
3.165830e-02 7.128086e-02 4.983300e-01 4.150000e+00
3.073524e-02 8.019689e-02 4.983300e-01 4.250000e+00
-3.254714e-04 7.181576e-02 4.983300e-01 4.350000e+00
2.795727e-02 7.474754e-02 4.983300e-01 4.450000e+00
8.841724e-02 8.798224e-02 4.983300e-01 4.550000e+00
1.358445e-01 8.304067e-02 4.983300e-01 4.650000e+00
2.850376e-01 1.351744e-01 4.983300e-01 4.750000e+00
1.042015e-01 7.368235e-02 4.983300e-01 4.850000e+00
-6.791908e-02 6.791907e-02 4.983300e-01 4.950000e+00
2.387450e-01 2.384246e-01 4.983300e-01 5.050000e+00
4.788508e-01 4.788509e-01 4.983300e-01 5.150000e+00
nan nan 4.983300e-01 5.250000e+00
nan nan 4.983300e-01 5.350000e+00
nan nan 4.983300e-01 5.450000e+00
nan nan 4.983300e-01 5.550000e+00
nan nan 4.983300e-01 5.650000e+00
nan nan 4.983300e-01 5.750000e+00
nan nan 4.983300e-01 5.850000e+00
nan nan 4.983300e-01 5.950000e+00
nan nan 4.983300e-01 6.050000e+00
nan nan 4.983300e-01 6.150000e+00
nan nan 4.983300e-01 6.250000e+00
nan nan 4.983300e-01 6.350000e+00
nan nan 4.983300e-01 6.450000e+00
nan nan 4.983300e-01 6.550000e+00
nan nan 4.983300e-01 6.650000e+00
nan nan 4.983300e-01 6.750000e+00
nan nan 4.983300e-01 6.850000e+00
nan nan 4.983300e-01 6.950000e+00
2.378764e+01 1.059588e+00 5.283300e-01 5.000000e-02
7.302611e+00 5.634096e-01 5.283300e-01 1.500000e-01
2.419729e+00 3.323759e-01 5.283300e-01 2.500000e-01
6.745577e-01 1.854744e-01 5.283300e-01 3.500000e-01
3.073330e-01 1.161611e-01 5.283300e-01 4.500000e-01
5.887168e-01 1.632810e-01 5.283300e-01 5.500000e-01
2.599436e-01 1.061217e-01 5.283300e-01 6.500000e-01
4.425368e-02 4.425368e-02 5.283300e-01 7.500000e-01
4.393066e-02 4.393066e-02 5.283300e-01 8.500000e-01
8.567088e-02 6.057852e-02 5.283300e-01 9.500000e-01
0.000000e+00 0.000000e+00 5.283300e-01 1.050000e+00
4.200232e-02 4.200232e-02 5.283300e-01 1.150000e+00
4.560510e-02 4.560510e-02 5.283300e-01 1.250000e+00
1.242524e-01 7.173720e-02 5.283300e-01 1.350000e+00
0.000000e+00 0.000000e+00 5.283300e-01 1.450000e+00
8.302739e-02 8.327728e-02 5.283300e-01 1.550000e+00
8.698989e-02 6.151137e-02 5.283300e-01 1.650000e+00
-4.215072e-02 4.215072e-02 5.283300e-01 1.750000e+00
4.224761e-02 4.224760e-02 5.283300e-01 1.850000e+00
4.252428e-02 4.252428e-02 5.283300e-01 1.950000e+00
4.144165e-02 4.144165e-02 5.283300e-01 2.050000e+00
4.214796e-02 9.501701e-02 5.283300e-01 2.150000e+00
1.293057e-04 5.760148e-02 5.283300e-01 2.250000e+00
8.529254e-02 6.031093e-02 5.283300e-01 2.350000e+00
4.001668e-02 4.001668e-02 5.283300e-01 2.450000e+00
2.115709e-01 9.461792e-02 5.283300e-01 2.550000e+00
3.941624e-02 8.761377e-02 5.283300e-01 2.650000e+00
1.258749e-01 9.357533e-02 5.283300e-01 2.750000e+00
1.161659e-01 1.023897e-01 5.283300e-01 2.850000e+00
-4.080140e-02 9.143803e-02 5.283300e-01 2.950000e+00
3.845895e-02 6.650757e-02 5.283300e-01 3.050000e+00
-3.873068e-02 3.873068e-02 5.283300e-01 3.150000e+00
2.242479e-01 1.058453e-01 5.283300e-01 3.250000e+00
1.510825e-01 7.554198e-02 5.283300e-01 3.350000e+00
3.587754e-02 6.263628e-02 5.283300e-01 3.450000e+00
2.953173e-04 7.237447e-02 5.283300e-01 3.550000e+00
3.609970e-02 8.121754e-02 5.283300e-01 3.650000e+00
1.039205e-01 7.744495e-02 5.283300e-01 3.750000e+00
3.477855e-02 7.749428e-02 5.283300e-01 3.850000e+00
-5.428780e-05 4.783095e-02 5.283300e-01 3.950000e+00
1.322463e-01 6.612404e-02 5.283300e-01 4.050000e+00
3.265295e-02 8.752469e-02 5.283300e-01 4.150000e+00
9.570148e-02 8.443522e-02 5.283300e-01 4.250000e+00
3.028309e-02 5.221086e-02 5.283300e-01 4.350000e+00
2.920347e-02 6.607831e-02 5.283300e-01 4.450000e+00
-5.041826e-04 6.323373e-02 5.283300e-01 4.550000e+00
1.096675e-01 6.331759e-02 5.283300e-01 4.650000e+00
-4.221901e-06 6.229109e-02 5.283300e-01 4.750000e+00
