# Intensity Error [-0.167K,0.333K,0] DeltaE
#  shape: 20x70
2.966870e-02 6.639378e-02 2.325000e+00 2.950000e+00
6.039084e-02 9.494660e-02 2.325000e+00 3.050000e+00
1.780574e-01 9.394768e-02 2.325000e+00 3.150000e+00
8.868589e-02 8.905605e-02 2.325000e+00 3.250000e+00
1.466983e-01 8.821911e-02 2.325000e+00 3.350000e+00
4.095838e-01 1.094666e-01 2.325000e+00 3.450000e+00
6.089536e-01 1.328855e-01 2.325000e+00 3.550000e+00
2.759834e-01 9.558020e-02 2.325000e+00 3.650000e+00
2.889188e-01 1.015959e-01 2.325000e+00 3.750000e+00
2.458254e-02 5.576555e-02 2.325000e+00 3.850000e+00
1.682101e-01 7.991574e-02 2.325000e+00 3.950000e+00
7.229022e-02 8.032024e-02 2.325000e+00 4.050000e+00
2.471270e-01 8.567036e-02 2.325000e+00 4.150000e+00
1.785090e-01 1.105019e-01 2.325000e+00 4.250000e+00
1.274355e-01 8.485841e-02 2.325000e+00 4.350000e+00
9.824408e-02 6.963160e-02 2.325000e+00 4.450000e+00
