# Intensity Error [0,-0.5K,0] DeltaE
#  shape: 34x70
4.730020e-01 2.365010e-01 -1.895000e+00 1.550000e+00
2.961018e-01 1.709545e-01 -1.895000e+00 1.650000e+00
2.292667e-01 1.621161e-01 -1.895000e+00 1.750000e+00
2.566987e-01 1.815141e-01 -1.895000e+00 1.850000e+00
1.005244e-01 1.005244e-01 -1.895000e+00 1.950000e+00
0.000000e+00 0.000000e+00 -1.895000e+00 2.050000e+00
0.000000e+00 0.000000e+00 -1.895000e+00 2.150000e+00
-4.234477e-04 1.302096e-01 -1.895000e+00 2.250000e+00
1.983634e-01 1.402641e-01 -1.895000e+00 2.350000e+00
0.000000e+00 0.000000e+00 -1.895000e+00 2.450000e+00
8.680965e-02 8.680964e-02 -1.895000e+00 2.550000e+00
3.468506e-05 1.266289e-01 -1.895000e+00 2.650000e+00
-1.111128e-01 1.111128e-01 -1.895000e+00 2.750000e+00
8.305453e-02 8.305454e-02 -1.895000e+00 2.850000e+00
8.544121e-02 8.544121e-02 -1.895000e+00 2.950000e+00
1.063106e-01 1.063106e-01 -1.895000e+00 3.050000e+00
8.126390e-02 8.126390e-02 -1.895000e+00 3.150000e+00
0.000000e+00 0.000000e+00 -1.895000e+00 3.250000e+00
1.047015e-01 1.047015e-01 -1.895000e+00 3.350000e+00
-7.820347e-02 7.820346e-02 -1.895000e+00 3.450000e+00
0.000000e+00 0.000000e+00 -1.895000e+00 3.550000e+00
0.000000e+00 0.000000e+00 -1.895000e+00 3.650000e+00
-7.765232e-02 7.765231e-02 -1.895000e+00 3.750000e+00
2.000182e-01 1.414348e-01 -1.895000e+00 3.850000e+00
-8.060715e-02 8.060715e-02 -1.895000e+00 3.950000e+00
0.000000e+00 0.000000e+00 -1.895000e+00 4.050000e+00
0.000000e+00 0.000000e+00 -1.895000e+00 4.150000e+00
7.454933e-02 7.454932e-02 -1.895000e+00 4.250000e+00
9.485695e-02 9.485694e-02 -1.895000e+00 4.350000e+00
-1.584049e-01 1.120092e-01 -1.895000e+00 4.450000e+00
1.631858e-01 1.153898e-01 -1.895000e+00 4.550000e+00
1.766424e-01 1.249077e-01 -1.895000e+00 4.650000e+00
1.487366e-01 1.051730e-01 -1.895000e+00 4.750000e+00
-9.672763e-02 1.679408e-01 -1.895000e+00 4.850000e+00
2.205672e-01 1.652725e-01 -1.895000e+00 4.950000e+00
1.965251e-01 1.967670e-01 -1.895000e+00 5.050000e+00
-7.775702e-02 1.759857e-01 -1.895000e+00 5.150000e+00
0.000000e+00 0.000000e+00 -1.895000e+00 5.250000e+00
0.000000e+00 0.000000e+00 -1.895000e+00 5.350000e+00
9.697609e-02 9.697609e-02 -1.895000e+00 5.450000e+00
9.552725e-04 1.013959e-01 -1.895000e+00 5.550000e+00
1.719701e-01 1.742255e-01 -1.895000e+00 5.650000e+00
-7.292552e-02 1.249411e-01 -1.895000e+00 5.750000e+00
-2.705307e-03 2.525657e-01 -1.895000e+00 5.850000e+00
3.348412e-03 2.899788e-01 -1.895000e+00 5.950000e+00
-2.097769e-01 1.561002e-01 -1.895000e+00 6.050000e+00
8.184763e-02 1.845108e-01 -1.895000e+00 6.150000e+00
4.639045e-01 2.679530e-01 -1.895000e+00 6.250000e+00
2.102485e-01 1.817219e-01 -1.895000e+00 6.350000e+00
3.933913e-01 2.464746e-01 -1.895000e+00 6.450000e+00
7.638402e-01 4.045111e-01 -1.895000e+00 6.550000e+00
-2.359617e-01 3.552047e-01 -1.895000e+00 6.650000e+00
-1.930186e-01 1.922472e-01 -1.895000e+00 6.750000e+00
0.000000e+00 0.000000e+00 -1.895000e+00 6.850000e+00
0.000000e+00 0.000000e+00 -1.895000e+00 6.950000e+00
1.989137e+01 1.450729e+00 -1.865000e+00 5.000000e-02
5.933480e+00 8.391222e-01 -1.865000e+00 1.500000e-01
1.692715e+00 4.523983e-01 -1.865000e+00 2.500000e-01
5.191910e-01 2.321895e-01 -1.865000e+00 3.500000e-01
5.326216e-01 2.381959e-01 -1.865000e+00 4.500000e-01
1.201890e-01 2.077225e-01 -1.865000e+00 5.500000e-01
1.816279e-01 1.284305e-01 -1.865000e+00 6.500000e-01
0.000000e+00 0.000000e+00 -1.865000e+00 7.500000e-01
1.031806e-01 1.031806e-01 -1.865000e+00 8.500000e-01
9.394323e-02 9.394323e-02 -1.865000e+00 9.500000e-01
5.181396e-01 2.115304e-01 -1.865000e+00 1.050000e+00
9.829548e-02 9.829549e-02 -1.865000e+00 1.150000e+00
2.028860e-01 1.434620e-01 -1.865000e+00 1.250000e+00
8.429150e-01 2.665537e-01 -1.865000e+00 1.350000e+00
