# Intensity Error [0.5H,-0.5H,0] DeltaE
#  shape: 34x70
nan nan -1.865000e+00 6.350000e+00
nan nan -1.865000e+00 6.450000e+00
nan nan -1.865000e+00 6.550000e+00
nan nan -1.865000e+00 6.650000e+00
nan nan -1.865000e+00 6.750000e+00
nan nan -1.865000e+00 6.850000e+00
nan nan -1.865000e+00 6.950000e+00
2.100354e+01 7.068265e-01 -1.835000e+00 5.000000e-02
6.389972e+00 3.978229e-01 -1.835000e+00 1.500000e-01
1.178486e+00 1.754999e-01 -1.835000e+00 2.500000e-01
4.783277e-01 1.127431e-01 -1.835000e+00 3.500000e-01
2.163052e-01 8.547655e-02 -1.835000e+00 4.500000e-01
1.119686e-01 5.598435e-02 -1.835000e+00 5.500000e-01
1.694766e-01 7.990851e-02 -1.835000e+00 6.500000e-01
3.110090e-01 9.377286e-02 -1.835000e+00 7.500000e-01
2.816317e-01 1.053498e-01 -1.835000e+00 8.500000e-01
4.157867e-01 1.039469e-01 -1.835000e+00 9.500000e-01
4.408381e-01 1.188818e-01 -1.835000e+00 1.050000e+00
2.243000e-01 8.261499e-02 -1.835000e+00 1.150000e+00
5.171148e-01 1.102495e-01 -1.835000e+00 1.250000e+00
1.173584e-01 6.211229e-02 -1.835000e+00 1.350000e+00
1.824855e-01 7.219733e-02 -1.835000e+00 1.450000e+00
1.153268e-01 6.916464e-02 -1.835000e+00 1.550000e+00
3.027888e-01 9.017906e-02 -1.835000e+00 1.650000e+00
2.730037e-01 9.654650e-02 -1.835000e+00 1.750000e+00
6.905018e-02 3.986614e-02 -1.835000e+00 1.850000e+00
2.303423e-01 7.284096e-02 -1.835000e+00 1.950000e+00
1.593796e-01 6.837391e-02 -1.835000e+00 2.050000e+00
2.972831e-01 8.245166e-02 -1.835000e+00 2.150000e+00
1.577642e-01 5.962946e-02 -1.835000e+00 2.250000e+00
1.376668e-01 6.491760e-02 -1.835000e+00 2.350000e+00
3.006978e-01 8.339898e-02 -1.835000e+00 2.450000e+00
1.407984e-01 5.748102e-02 -1.835000e+00 2.550000e+00
7.617748e-02 6.739982e-02 -1.835000e+00 2.650000e+00
1.971299e-01 8.437097e-02 -1.835000e+00 2.750000e+00
9.170654e-02 5.294688e-02 -1.835000e+00 2.850000e+00
1.672258e-01 7.478594e-02 -1.835000e+00 2.950000e+00
3.753055e-02 6.449402e-02 -1.835000e+00 3.050000e+00
1.646090e-01 8.230457e-02 -1.835000e+00 3.150000e+00
1.725283e-04 6.549380e-02 -1.835000e+00 3.250000e+00
2.194288e-01 1.097144e-01 -1.835000e+00 3.350000e+00
0.000000e+00 0.000000e+00 -1.835000e+00 3.450000e+00
7.813714e-02 7.813714e-02 -1.835000e+00 3.550000e+00
0.000000e+00 0.000000e+00 -1.835000e+00 3.650000e+00
8.498964e-04 1.972523e-01 -1.835000e+00 3.750000e+00
2.234440e-01 2.234440e-01 -1.835000e+00 3.850000e+00
0.000000e+00 0.000000e+00 -1.835000e+00 3.950000e+00
nan nan -1.835000e+00 4.050000e+00
nan nan -1.835000e+00 4.150000e+00
nan nan -1.835000e+00 4.250000e+00
nan nan -1.835000e+00 4.350000e+00
nan nan -1.835000e+00 4.450000e+00
nan nan -1.835000e+00 4.550000e+00
nan nan -1.835000e+00 4.650000e+00
nan nan -1.835000e+00 4.750000e+00
nan nan -1.835000e+00 4.850000e+00
nan nan -1.835000e+00 4.950000e+00
nan nan -1.835000e+00 5.050000e+00
nan nan -1.835000e+00 5.150000e+00
nan nan -1.835000e+00 5.250000e+00
nan nan -1.835000e+00 5.350000e+00
nan nan -1.835000e+00 5.450000e+00
nan nan -1.835000e+00 5.550000e+00
nan nan -1.835000e+00 5.650000e+00
nan nan -1.835000e+00 5.750000e+00
nan nan -1.835000e+00 5.850000e+00
nan nan -1.835000e+00 5.950000e+00
nan nan -1.835000e+00 6.050000e+00
nan nan -1.835000e+00 6.150000e+00
nan nan -1.835000e+00 6.250000e+00
nan nan -1.835000e+00 6.350000e+00
nan nan -1.835000e+00 6.450000e+00
nan nan -1.835000e+00 6.550000e+00
nan nan -1.835000e+00 6.650000e+00
nan nan -1.835000e+00 6.750000e+00
nan nan -1.835000e+00 6.850000e+00
nan nan -1.835000e+00 6.950000e+00
1.988876e+01 6.754587e-01 -1.805000e+00 5.000000e-02
6.353999e+00 3.797246e-01 -1.805000e+00 1.500000e-01
1.467620e+00 1.834527e-01 -1.805000e+00 2.500000e-01
5.918950e-01 1.160804e-01 -1.805000e+00 3.500000e-01
2.977688e-01 8.258636e-02 -1.805000e+00 4.500000e-01
4.650010e-02 3.288057e-02 -1.805000e+00 5.500000e-01
1.920972e-01 6.791681e-02 -1.805000e+00 6.500000e-01
3.954501e-01 1.048810e-01 -1.805000e+00 7.500000e-01
1.514592e-01 7.132510e-02 -1.805000e+00 8.500000e-01
5.034948e-01 1.155099e-01 -1.805000e+00 9.500000e-01
2.960367e-01 8.925861e-02 -1.805000e+00 1.050000e+00
3.513681e-01 9.745216e-02 -1.805000e+00 1.150000e+00
1.934564e-01 7.311988e-02 -1.805000e+00 1.250000e+00
2.188702e-01 7.738234e-02 -1.805000e+00 1.350000e+00
1.617044e-01 6.601574e-02 -1.805000e+00 1.450000e+00
1.041625e-01 7.357754e-02 -1.805000e+00 1.550000e+00
2.987160e-01 9.311016e-02 -1.805000e+00 1.650000e+00
1.728987e-01 6.534975e-02 -1.805000e+00 1.750000e+00
9.609337e-02 5.890669e-02 -1.805000e+00 1.850000e+00
2.508133e-01 7.562336e-02 -1.805000e+00 1.950000e+00
1.592770e-01 6.020130e-02 -1.805000e+00 2.050000e+00
2.708357e-01 8.441617e-02 -1.805000e+00 2.150000e+00
1.323517e-01 6.235206e-02 -1.805000e+00 2.250000e+00
1.106475e-01 4.948307e-02 -1.805000e+00 2.350000e+00
1.121889e-01 5.927883e-02 -1.805000e+00 2.450000e+00
9.007290e-02 5.508491e-02 -1.805000e+00 2.550000e+00
1.681912e-01 7.202449e-02 -1.805000e+00 2.650000e+00
-6.347227e-05 6.202851e-02 -1.805000e+00 2.750000e+00
-2.713084e-02 2.713083e-02 -1.805000e+00 2.850000e+00
8.975126e-02 6.699217e-02 -1.805000e+00 2.950000e+00
6.539330e-02 6.557725e-02 -1.805000e+00 3.050000e+00
7.238719e-02 5.118559e-02 -1.805000e+00 3.150000e+00
4.062066e-02 4.062066e-02 -1.805000e+00 3.250000e+00
9.300252e-02 6.576280e-02 -1.805000e+00 3.350000e+00
2.683201e-01 1.199969e-01 -1.805000e+00 3.450000e+00
1.273204e-01 9.002914e-02 -1.805000e+00 3.550000e+00
2.423601e-01 1.399291e-01 -1.805000e+00 3.650000e+00
-1.108033e-01 1.108033e-01 -1.805000e+00 3.750000e+00
1.749640e-01 1.749640e-01 -1.805000e+00 3.850000e+00
0.000000e+00 0.000000e+00 -1.805000e+00 3.950000e+00
nan nan -1.805000e+00 4.050000e+00
nan nan -1.805000e+00 4.150000e+00
nan nan -1.805000e+00 4.250000e+00
nan nan -1.805000e+00 4.350000e+00
nan nan -1.805000e+00 4.450000e+00
nan nan -1.805000e+00 4.550000e+00
nan nan -1.805000e+00 4.650000e+00
nan nan -1.805000e+00 4.750000e+00
nan nan -1.805000e+00 4.850000e+00
nan nan -1.805000e+00 4.950000e+00
nan nan -1.805000e+00 5.050000e+00
nan nan -1.805000e+00 5.150000e+00
nan nan -1.805000e+00 5.250000e+00
nan nan -1.805000e+00 5.350000e+00
nan nan -1.805000e+00 5.450000e+00
nan nan -1.805000e+00 5.550000e+00
nan nan -1.805000e+00 5.650000e+00
nan nan -1.805000e+00 5.750000e+00
nan nan -1.805000e+00 5.850000e+00
nan nan -1.805000e+00 5.950000e+00
nan nan -1.805000e+00 6.050000e+00
nan nan -1.805000e+00 6.150000e+00
nan nan -1.805000e+00 6.250000e+00
nan nan -1.805000e+00 6.350000e+00
nan nan -1.805000e+00 6.450000e+00
nan nan -1.805000e+00 6.550000e+00
nan nan -1.805000e+00 6.650000e+00
nan nan -1.805000e+00 6.750000e+00
