# Intensity Error [0.5H,0,0] DeltaE
#  shape: 34x70
-7.883261e-03 7.212166e-01 1.050000e-01 6.550000e+00
nan nan 1.050000e-01 6.650000e+00
nan nan 1.050000e-01 6.750000e+00
nan nan 1.050000e-01 6.850000e+00
nan nan 1.050000e-01 6.950000e+00
1.904231e+01 9.336276e-01 1.350000e-01 5.000000e-02
5.490063e+00 5.307450e-01 1.350000e-01 1.500000e-01
1.085403e+00 2.314091e-01 1.350000e-01 2.500000e-01
3.241391e-01 1.225133e-01 1.350000e-01 3.500000e-01
2.575299e-01 1.151711e-01 1.350000e-01 4.500000e-01
2.933693e-01 1.197677e-01 1.350000e-01 5.500000e-01
1.421001e-01 8.204156e-02 1.350000e-01 6.500000e-01
-5.002158e-02 8.639149e-02 1.350000e-01 7.500000e-01
9.443149e-02 6.677317e-02 1.350000e-01 8.500000e-01
0.000000e+00 0.000000e+00 1.350000e-01 9.500000e-01
1.437307e-01 8.298317e-02 1.350000e-01 1.050000e+00
4.455406e-02 9.936091e-02 1.350000e-01 1.150000e+00
-9.064608e-05 7.697755e-02 1.350000e-01 1.250000e+00
0.000000e+00 0.000000e+00 1.350000e-01 1.350000e+00
4.094795e-02 7.125007e-02 1.350000e-01 1.450000e+00
5.741440e-02 5.741439e-02 1.350000e-01 1.550000e+00
0.000000e+00 0.000000e+00 1.350000e-01 1.650000e+00
1.203160e-01 8.964283e-02 1.350000e-01 1.750000e+00
1.169158e-01 8.267217e-02 1.350000e-01 1.850000e+00
-4.806974e-02 4.806974e-02 1.350000e-01 1.950000e+00
8.292926e-02 5.863995e-02 1.350000e-01 2.050000e+00
5.675090e-02 5.675090e-02 1.350000e-01 2.150000e+00
8.895703e-02 6.290214e-02 1.350000e-01 2.250000e+00
4.655683e-02 4.655683e-02 1.350000e-01 2.350000e+00
0.000000e+00 0.000000e+00 1.350000e-01 2.450000e+00
1.337410e-01 7.721553e-02 1.350000e-01 2.550000e+00
1.598057e-01 9.226466e-02 1.350000e-01 2.650000e+00
3.828805e-02 3.828805e-02 1.350000e-01 2.750000e+00
1.730849e-01 9.993093e-02 1.350000e-01 2.850000e+00
1.909733e-01 9.548740e-02 1.350000e-01 2.950000e+00
6.840900e-02 6.855008e-02 1.350000e-01 3.050000e+00
1.031377e-01 1.031377e-01 1.350000e-01 3.150000e+00
6.154046e-02 7.509939e-02 1.350000e-01 3.250000e+00
5.165964e-02 5.165965e-02 1.350000e-01 3.350000e+00
7.402163e-02 7.402163e-02 1.350000e-01 3.450000e+00
1.271451e-01 5.686143e-02 1.350000e-01 3.550000e+00
0.000000e+00 0.000000e+00 1.350000e-01 3.650000e+00
5.526265e-02 6.818576e-02 1.350000e-01 3.750000e+00
0.000000e+00 0.000000e+00 1.350000e-01 3.850000e+00
5.638880e-02 5.638881e-02 1.350000e-01 3.950000e+00
-7.468752e-06 6.817874e-02 1.350000e-01 4.050000e+00
-1.354279e-01 3.582070e-01 1.350000e-01 4.150000e+00
2.680189e-01 1.003145e-01 1.350000e-01 4.250000e+00
2.934508e-01 1.467285e-01 1.350000e-01 4.350000e+00
1.030870e-01 1.031503e-01 1.350000e-01 4.450000e+00
-7.704122e-05 6.139897e-02 1.350000e-01 4.550000e+00
4.494277e-02 9.998140e-02 1.350000e-01 4.650000e+00
-3.046399e-04 4.748779e-02 1.350000e-01 4.750000e+00
5.162881e-02 8.847981e-02 1.350000e-01 4.850000e+00
-6.547676e-02 6.488610e-02 1.350000e-01 4.950000e+00
-4.990381e-02 1.282340e-01 1.350000e-01 5.050000e+00
-3.373803e-02 3.373803e-02 1.350000e-01 5.150000e+00
8.419878e-02 1.038756e-01 1.350000e-01 5.250000e+00
2.407786e-01 1.135884e-01 1.350000e-01 5.350000e+00
1.585771e-01 1.254445e-01 1.350000e-01 5.450000e+00
-3.191194e-02 1.174999e-01 1.350000e-01 5.550000e+00
1.106738e-01 1.235312e-01 1.350000e-01 5.650000e+00
6.289404e-02 1.193349e-01 1.350000e-01 5.750000e+00
-1.340784e-01 1.253259e-01 1.350000e-01 5.850000e+00
